;Dates;Company;Overall-Ratings;Work-Balance;Culture-Values;Carrer-Opportunities;Company-Benefits;Management
0;2008;google;4.010989010989011;3.989010989010989;;3.4752747252747254;4.03021978021978;3.706043956043956
0;2009;google;3.88659793814433;4.175257731958763;;3.1907216494845363;3.850515463917526;3.6752577319587627
0;2010;google;3.8;3.9045454545454548;;3.331818181818182;3.909090909090909;3.5318181818181817
0;2011;google;4.108333333333333;4.004166666666666;;3.720833333333333;4.070833333333334;3.8583333333333334
0;2012;google;4.2844827586206895;4.030973451327434;4.4397590361445785;3.7555066079295156;4.364444444444445;3.7809734513274336
0;2013;google;4.343173431734317;3.897338403041825;4.38403041825095;3.7870722433460076;4.38403041825095;3.8669201520912546
0;2014;google;4.399558498896247;3.9633867276887873;4.397228637413395;3.903225806451613;4.377011494252874;3.832183908045977
0;2015;google;4.321688500727802;3.9906687402799377;4.358255451713395;3.9611197511664074;4.395348837209302;3.831230283911672
0;2016;google;4.409509202453988;4.0;4.363939899833055;4.074875207986689;4.453642384105961;3.859083191850594
0;2017;google;4.349258649093905;4.006861063464837;4.290657439446367;4.030981067125645;4.426369863013699;3.8246527777777777
0;2018;google;4.262452107279693;3.9475806451612905;4.202839756592292;4.040322580645161;4.441295546558704;3.7663934426229506
0;2008;amazon;3.2523809523809524;3.3095238095238093;;3.283333333333333;3.242857142857143;3.2666666666666666
0;2009;amazon;3.328358208955224;3.1865671641791047;;3.343283582089552;3.451492537313433;3.3507462686567164
0;2010;amazon;3.065040650406504;2.934959349593496;;3.1666666666666665;3.4715447154471546;3.1219512195121952
0;2011;amazon;3.0387096774193547;2.8483870967741933;;3.164516129032258;3.3967741935483873;3.1451612903225805
0;2012;amazon;3.487623762376238;2.81875;3.5529010238907848;3.6545226130653266;3.695;3.191729323308271
0;2013;amazon;3.2782324058919805;2.5668896321070234;3.307563025210084;3.4093959731543624;3.5360134003350083;2.9696969696969697
0;2014;amazon;3.279046673286991;2.559183673469388;3.207778915046059;3.3160040774719675;3.4872579001019366;2.8709016393442623
0;2015;amazon;3.3312287518212726;2.6514373716632442;3.2408457968024753;3.382880574064582;3.5199795081967213;2.9095634095634098
0;2016;amazon;3.4749240121580547;2.857142857142857;3.380663430420712;3.4642143142742903;3.5970328789093826;3.0097879282218596
0;2017;amazon;3.7360925678682686;3.2185993111366247;3.701734104046243;3.7614889705882355;3.814236509758898;3.3355064027939463
0;2018;amazon;3.7609096496619547;3.301314673452078;3.721867007672634;3.7444868532654794;3.823616705533178;3.327198801626364
0;2008;apple;3.8603896103896105;3.573051948051948;;3.4448051948051948;3.607142857142857;3.6185064935064934
0;2009;apple;3.7012987012987013;3.590909090909091;;3.2532467532467533;3.711038961038961;3.594155844155844
0;2010;apple;3.576158940397351;3.423841059602649;;3.1556291390728477;3.6390728476821192;3.5364238410596025
0;2011;apple;3.8898678414096914;3.654185022026432;;3.447136563876652;3.8612334801762116;3.552863436123348
0;2012;apple;3.9135802469135803;3.375;4.162037037037037;3.3634920634920635;3.7884615384615383;3.548076923076923
0;2013;apple;3.8047138047138045;3.2243150684931505;4.00513698630137;3.1869639794168094;3.7667238421955402;3.3121783876500857
0;2014;apple;3.8824175824175824;3.3172103487064115;4.104966139954853;3.3014623172103486;3.9323562570462234;3.3902714932126696
0;2015;apple;3.9719188767550704;3.2815854665565647;4.091887417218543;3.4635761589403975;4.008257638315442;3.4767054908485857
0;2016;apple;3.929922915206727;3.27212389380531;4.080178173719377;3.344165435745938;4.0635155096011815;3.360387192851824
0;2017;apple;3.9090136054421767;3.3312990409764605;4.0375874125874125;3.4013961605584644;4.105492589363557;3.352014010507881
0;2018;apple;3.8520179372197307;3.302570093457944;4.015204678362573;3.3796728971962615;4.102683780630105;3.3454332552693207
0;2008;microsoft;3.714795008912656;4.024955436720143;;3.695187165775401;4.050802139037433;3.1158645276292334
0;2009;microsoft;3.3658536585365852;3.749128919860627;;3.3344947735191637;3.994773519163763;2.7665505226480835
0;2010;microsoft;3.347826086956522;3.639130434782609;;3.3043478260869565;3.872826086956522;2.777173913043478
0;2011;microsoft;3.330223880597015;3.6483208955223883;;3.2938432835820897;3.779850746268657;2.8516791044776117
0;2012;microsoft;3.6277777777777778;3.546445497630332;3.5058064516129033;3.5997191011235956;3.977892756349953;2.9593188268684956
0;2013;microsoft;3.653812445223488;3.3920863309352516;3.3543733092876464;3.6519386834986474;3.9244604316546763;2.740974729241877
0;2014;microsoft;3.666225165562914;3.4850340136054423;3.397680763983629;3.581917063222298;3.991162474507138;2.88259385665529
0;2015;microsoft;3.825668449197861;3.510948905109489;3.6088913899831176;3.6595143986448333;4.048876404494382;3.1564971751412427
0;2016;microsoft;3.9357311320754715;3.601990049751244;3.711959924859111;3.75670617592015;4.108546475358702;3.295483061480552
0;2017;microsoft;4.003644314868804;3.7551330798479086;3.905343511450382;3.7751524390243905;4.104182509505703;3.3877394636015326
0;2018;microsoft;4.029946524064171;3.7618522601984563;3.940331491712707;3.842337375964719;4.023153252480705;3.470066518847007
